,description,en,fr,pl,ru,es,it,ga,fil,de,tr,id,pt,jp
TILE_PIPE3A_TL,Blue Pipe Vertical,Vertical Blue Pipe TL,Tuyau Bleu Vertical HG,Pionowa Niebieska Rura GL,beptиkaльhaя cиhяя tpУбa bЛ,Tubería azul vertical TL,,ＶＥＲＴＩＣＡＬ ＢＬＵＥ ＰＩＰＥ ＴＬ,Patayong Asul na Tubo (Taas sa Kaliwa),Vertikale blaue Röhre OL,Dİkey Mavİ Boru TL,Pipa Biru Vertikal TL,Cano Vertical Azul CSE,あおいどかん（タテ、ヒウ）
TILE_PIPE3A_TR,,Vertical Blue Pipe TR,Tuyau Bleu Vertical HD,Pionowa Niebieska Rura GP,beptиkaльhaя cиhяя tpУбa bП,Tubería azul vertical TR,,ＶＥＲＴＩＣＡＬ ＢＬＵＥ ＰＩＰＥ ＴＲ,Patayong Asul na Tubo (Taas sa Kanan,Vertikale blaue Röhre OR,Dİkey Mavİ Boru TR,Pipa Biru Vertikal TR,Cano Vertical Azul CSD,あおいどかん（タテ、ミウ）
TILE_PIPE3A_BL,,Vertical Blue Pipe BL,Tuyau Bleu Vertical BG,Pionowa Niebieska Rura DL,beptиkaльhaя cиhяя tpУбa hЛ,Tubería azul vertical BL,,ＶＥＲＴＩＣＡＬ ＢＬＵＥ ＰＩＰＥ ＢＬ,Patayong Asul na Tubo (Baba sa Kaliwa),Vertikale blaue Röhre UL,Dİkey Mavİ Boru BL,Pipa Biru Vertikal BL,Cano Vertical Azul CIE,あおいどかん（タテ、ヒシ）
TILE_PIPE3A_BR,,Vertical Blue Pipe BR,Tuyau Bleu Vertical BD,Pionowa Niebieska Rura DP,beptиkaльhaя cиhяя tpУбa hП,Tubería azul vertical BR,,ＶＥＲＴＩＣＡＬ ＢＬＵＥ ＰＩＰＥ ＢＲ,Patayong Asul na Tubo (Baba sa Kanan,Vertikale blaue Röhre UR,Dİkey Mavİ Boru BR,Pipa Biru Vertikal BR,Cano Vertical Azul CID,あおいどかん（タテ、ミシ）
TILE_PIPE4A_TL,Red Pipe Vertical,Vertical Red Pipe TL,Tuyau Rouge Vertical HG,Pionowa Czerwona Rura GL,beptиkaльhaя kpachaя tpУбa bЛ,Tubería roja vertical TL,,ＶＥＲＴＩＣＡＬ ＲＥＤ ＰＩＰＥ ＴＬ,Patayong Pulang Tubo (Taas sa Kaliwa),Vertikale rote Röhre OL,Dİkey Kırmızı Boru TL,Pipa Merah Vertikal TL,Cano Vertical Vermelho  CSE,あかいどかん（タテ、ヒウ）
TILE_PIPE4A_TR,,Vertical Red Pipe TR,Tuyau Rouge Vertical HD,Pionowa Czerwona Rura GP,beptиkaльhaя kpachaя tpУбa bП,Tubería roja vertical TR,,ＶＥＲＴＩＣＡＬ ＲＥＤ ＰＩＰＥ ＴＲ,Patayong Pulang Tubo (Taas sa Kanan),Vertikale rote Röhre OR,Dİkey Kırmızı Boru TR,Pipa Merah Vertikal TR,Cano Vertical Vermelho CSD,あかいどかん（タテ、ミウ）
TILE_PIPE4A_BL,,Vertical Red Pipe BL,Tuyau Rouge Vertical BG,Pionowa Czerwona Rura DL,beptиkaльhaя kpachaя tpУбa hЛ,Tubería roja vertical BL,,ＶＥＲＴＩＣＡＬ ＲＥＤ ＰＩＰＥ ＢＬ,Patayong Pulang Tubo (Baba sa Kaliwa),Vertikale rote Röhre UL,Dİkey Kırmızı Boru BL,Pipa Merah Vertikal BL,Cano Vertical Vermelho CIE,あかいどかん（タテ、ヒシ）
TILE_PIPE4A_BR,,Vertical Red Pipe BR,Tuyau Rouge Vertical BD,Pionowa Czerwona Rura DP,beptиkaльhaя kpachaя tpУбa hП,Tubería roja vertical BR,,ＶＥＲＴＩＣＡＬ ＲＥＤ ＰＩＰＥ ＢＲ,Patayong Pulang Tubo (Baba sa Kanan),Vertikale rote Röhre UR,Dİkey Kırmızı Boru BR,Pipa Merah Vertikal BR,Cano Vertical Vermelho CID,あかいどかん（タテ、ミシ）
TILE_PIPE1B_TL,Green Pipe Horizontal,Horizontal Green Pipe TL,Tuyau Vert Horizontal HG,Pozioma Zielona Rura GL,Гopизohtaльhaя Зeлёhaя tpУбa bЛ,Tubería verde horizontal TL,,ＨＯＲＩＺＯＮＴＡＬ ＧＲＥＥＮ ＰＩＰＥ ＴＬ,Pahigang Berdeng Tubo (Taas sa Kaliwa),Horizontale grüne Röhre OL,Yatay Yeşİl Boru TL,Pipa Hijau Horizontal TL,Cano Horizontal Verde CSE,みどりのどかん（ヨコ、ヒウ）
TILE_PIPE1B_TR,,Horizontal Green Pipe TR,Tuyau Vert Horizontal HD,Pozioma Zielona Rura GP,Гopизohtaльhaя Зeлёhaя tpУбa bП,Tubería verde horizontal TR,,ＨＯＲＩＺＯＮＴＡＬ ＧＲＥＥＮ ＰＩＰＥ ＴＲ,Pahigang Berdeng Tubo (Taas sa Kanan),Horizontale grüne Röhre OR,Yatay Yeşİl Boru TR,Pipa Hijau Horizontal TR,Cano Horizontal Verde CSD,みどりのどかん（ヨコ、ミウ）
TILE_PIPE1B_BL,,Horizontal Green Pipe BL,Tuyau Vert Horizontal BG,Pozioma Zielona Rura DL,Гopизohtaльhaя Зeлёhaя tpУбa hЛ,Tubería verde horizontal BL,,ＨＯＲＩＺＯＮＴＡＬ ＧＲＥＥＮ ＰＩＰＥ ＢＬ,Pahigang Berdeng Tubo (Baba sa Kaliwa),Horizontale grüne Röhre UL,Yatay Yeşİl Boru BL,Pipa Hijau Horizontal BL,Cano Horizontal Verde CIE,みどりのどかん（ヨコ、ヒシ）
TILE_PIPE1B_BR,,Horizontal Green Pipe BR,Tuyau Vert Horizontal BD,Pozioma Zielona Rura DP,Гopизohtaльhaя Зeлёhaя tpУбa hП,Tubería verde horizontal BR,,ＨＯＲＩＺＯＮＴＡＬ ＧＲＥＥＮ ＰＩＰＥ ＢＲ,Pahigang Berdeng Tubo (Baba sa Kanan),Horizontale grüne Röhre UR,Yatay Yeşİl Boru BR,Pipa Hijau Horizontal BR,Cano Horizontal Verde CID,みどりのどかん（ヨコ、ミシ）
TILE_PIPE2B_TL,Yellow Pipe Horizontal,Horizontal Yellow Pipe TL,Tuyau Jaune Horizontal HG,Pozioma Żółta Rura GL,Гopизohtaльhaя Жёлtaя tpУбa bЛ,Tubería amarilla horizontal TL,,ＨＯＲＩＺＯＮＴＡＬ ＹＥＬＬＯＷ ＰＩＰＥ ＴＬ,Pahigang Dilaw na Tubo (Taas sa Kaliwa),Horizontale gelbe Röhre OL,Yatay Sarı Boru TL,Pipa Kuning Horizontal TL,Cano Horizontal Amarelo CSE,きいろいどかん（ヨコ、ヒウ）
TILE_PIPE2B_TR,,Horizontal Yellow Pipe TR,Tuyau Jaune Horizontal HD,Pozioma Żółta Rura GP,Гopизohtaльhaя Жёлtaя tpУбa bП,Tubería amarilla horizontal TR,,ＨＯＲＩＺＯＮＴＡＬ ＹＥＬＬＯＷ ＰＩＰＥ ＴＲ,Pahigang Dilaw na Tubo (Taas sa Kanan),Horizontale gelbe Röhre OR,Yatay Sarı Boru TR,Pipa Kuning Horizontal TR,Cano Horizontal Amarelo CSD,きいろいどかん（ヨコ、ミウ）
TILE_PIPE2B_BL,,Horizontal Yellow Pipe BL,Tuyau Jaune Horizontal BG,Pozioma Żółta Rura DL,Гopизohtaльhaя Жёлtaя tpУбa hЛ,Tubo amarillo horizontal BL,,ＨＯＲＩＺＯＮＴＡＬ ＹＥＬＬＯＷ ＰＩＰＥ ＢＬ,Pahigang Dilaw na Tubo (Baba sa Kaliwa),Horizontale gelbe Röhre UL,Yatay Sarı Boru BL,Pipa Kuning Horizontal BL,Cano Horizontal Amarelo CIE,きいろいどかん（ヨコ、ヒシ）
TILE_PIPE2B_BR,,Horizontal Yellow Pipe BR,Tuyau Jaune Horizontal BD,Pozioma Żółta Rura DP,Гopизohtaльhaя Жёлtaя tpУбa hП,Tubo amarillo horizontal BR,,ＨＯＲＩＺＯＮＴＡＬ ＹＥＬＬＯＷ ＰＩＰＥ ＢＲ,Pahigang Dilaw na Tubo (Baba sa Kanan),Horizontale gelbe Röhre UR,Yatay Sarı Boru BR,Pipa Kuning Horizontal BR,Cano Horizontal Amarelo CID,きいろいどかん（ヨコ、ミシ）
TILE_PIPE3B_TL,Blue Pipe Horizontal,Horizontal Blue Pipe TL,Tuyau Bleu Horizontal HG,Pozioma Niebieska Rura GL,Гopизohtaльhaя cиhяя tpУбa bЛ,Tubo azul horizontal TL,,ＨＯＲＩＺＯＮＴＡＬ ＢＬＵＥ ＰＩＰＥ ＴＬ,Pahigang Asul na Tubo (Taas sa Kaliwa),Horizontale blaue Röhre OL,Yatay Mavİ Boru TL,Pipa Biru Horizontal TL,Cano Horizontal Azul CSE,あおいどかん（ヨコ、ヒウ）
TILE_PIPE3B_TR,,Horizontal Blue Pipe TR,Tuyau Bleu Horizontal HD,Pozioma Niebieska Rura GP,Гopизohtaльhaя cиhяя tpУбa bП,Tubo azul horizontal TR,,ＨＯＲＩＺＯＮＴＡＬ ＢＬＵＥ ＰＩＰＥ ＴＲ,Pahigang Asul na Tubo (Taas sa Kanan,Horizontale blaue Röhre OR,Yatay Mavİ Boru TR,Pipa Biru Horizontal TR,Cano Horizontal Azul CSD,あおいどかん（ヨコ、ミウ）
TILE_PIPE3B_BL,,Horizontal Blue Pipe BL,Tuyau Bleu Horizontal BG,Pozioma Niebieska Rura DL,Гopизohtaльhaя cиhяя tpУбa hЛ,Tubo azul horizontal BL,,ＨＯＲＩＺＯＮＴＡＬ ＢＬＵＥ ＰＩＰＥ ＢＬ,Pahigang Asul na Tubo (Baba sa Kaliwa),Horizontale blaue Röhre UL,Yatay Mavİ Boru BL,Pipa Biru Horizontal BL,Cano Horizontal Azul CIE,あおいどかん（ヨコ、ヒシ）
TILE_PIPE3B_BR,,Horizontal Blue Pipe BR,Tuyau Bleu Horizontal BD,Pozioma Niebieska Rura DP,Гopизohtaльhaя cиhяя tpУбa hП,Tubo azul horizontal BR,,ＨＯＲＩＺＯＮＴＡＬ ＢＬＵＥ ＰＩＰＥ ＢＲ,Pahigang Asul na Tubo (Baba sa Kanan,Horizontale blaue Röhre UR,Yatay Mavİ Boru BR,Pipa Biru Horizontal BR,Cano Horizontal Azul CID,あおいどかん（ヨコ、ミシ）
TILE_PIPE4B_TL,Red Pipe Horizontal,Horizontal Red Pipe TL,Tuyau Rouge Horizontal HG,Pozioma Czerwona Rura GL,Гopизohtaльhaя kpachaя tpУбa bЛ,Tubo rojo horizontal TL,,ＨＯＲＩＺＯＮＴＡＬ ＲＥＤ ＰＩＰＥ ＴＬ,Pahigang Pulang Tubo (Taas sa Kaliwa),Horizontale rote Röhre OL,Yatay Kırmızı Boru TL,Pipa Merah Horizontal TL,Cano Horizontal Vermelho CSE,あかいどかん（ヨコ、ヒウ）
TILE_PIPE4B_TR,,Horizontal Red Pipe TR,Tuyau Rouge Horizontal HD,Pozioma Czerwona Rura GP,Гopизohtaльhaя kpachaя tpУбa bП,Tubo rojo horizontal TR,,ＨＯＲＩＺＯＮＴＡＬ ＲＥＤ ＰＩＰＥ ＴＲ,Pahigang Pulang Tubo (Taas sa Kanan),Horizontale rote Röhre OR,Yatay Kırmızı Boru TR,Pipa Merah Horizontal TR,Cano Horizontal Vermelho CSD,あかいどかん（ヨコ、ミウ）
TILE_PIPE4B_BL,,Horizontal Red Pipe BL,Tuyau Rouge Horizontal BG,Pozioma Czerwona Rura DL,Гopизohtaльhaя kpachaя tpУбa hЛ,Tubo rojo horizontal BL,,ＨＯＲＩＺＯＮＴＡＬ ＲＥＤ ＰＩＰＥ ＢＬ,Pahigang Pulang Tubo (Baba sa Kaliwa),Horizontale rote Röhre UL,Yatay Kırmızı Boru BL,Pipa Merah Horizontal BL,Cano Horizontal Vermelho CIE,あかいどかん（ヨコ、ヒシ）
TILE_PIPE4B_BR,,Horizontal Red Pipe BR,Tuyau Rouge Horizontal BD,Pozioma Czerwona Rura DP,Гopизohtaльhaя kpachaя tpУбa hП,Tubo rojo horizontal BR,,ＨＯＲＩＺＯＮＴＡＬ ＲＥＤ ＰＩＰＥ ＢＲ,Pahigang Pulang Tubo (Baba sa Kanan),Horizontale rote Röhre OL,Yatay Kırmızı Boru BR,Pipa Merah Horizontal BR,Cano Horizontal Vermelho CID,あかいどかん（ヨコ、ミシ）
TILE_WATER_1,FG Water (Used in overworld levels),FG Water,Eau Premier Plan,Woda FG,Пepeдhяя boдa,FG Agua,,ＦＧ ＷＡＴＥＲ,Tubig (Na-iinteract),Wasser (Vordergrund),Su (Yer Üstü),FG Air,Água do Foreground,みず（ぜんけい）
TILE_WATER_2,BG Water (Used in underwater levels),BG Water,Eau Dernier Plan,Woda BG,Зaдhяя boдa,BG Agua,,ＢＧ ＷＡＴＥＲ,Tubig (BG),Wasser (Hintergrund),Su (Su Altı),BG Air,Água do Background,みず（はいけい）
TILE_LAVA,,Lava,Lave,Lawa,Лaba,Lava,,ＬＡＶＡ,Lava,Lava,Lav,Lahar,Lava,マグマ
TILE_POISION,,Poison,Poison,Kwas,Яд,Veneno,,ＰＯＩＳＯＮ,Lason,Giftwasser,Zehİr,Racun,Veneno,どくぬま
TILE_BLASTER_TOP,,Bill Blaster Top,Haut du Cannon,Góra Działa,bepxУшka ПУшkи Биллa ,,,ＢＩＬＬ ＢＬＡＳＴＥＲ ＴＯＰ,Itaas ng Kanyong Bill,Kanone Oben,Bombardİman Sİlahı Üst,Bill Blaster Atas,Bill Blaster Superior,キラーほうだい（ウ）
TILE_BLASTER_MIDDLE,,Bill Blaster Middle,Milieux du Cannon,Środek Działa,cepeдиha ПУшkи Биллa,,,ＢＩＬＬ ＢＬＡＳＴＥＲ ＭＩＤＤＬＥ,Katawan ng Kanyong Bill,Kanone Mitte,Bombardİman Sİlahı Orta,Bill Blaster Tengah,Bill Blaster Meio,キラーほうだい（ナカ）
TILE_BLASTER_BOTTOM,,Bill Blaster Bottom,Bas du Cannon,Dół Działa,hиз ПУшkи Биллa,,,ＢＩＬＬ ＢＬＡＳＴＥＲ ＢＯＴＴＯＭ,Ilalim ng Kanyong Bill,Kanone Unten,Bombardİman Sİlahı Alt,Bill Blaster Bawah,Bill Blaster Inferior,キラーほうだい（シ）
DECO_WIDE_L,,Deco Wide L,Large deco G,Deko Szerokie L,Шиpokaя Дekopaция Л,,,ＤＥＣＯ ＷＩＤＥ Ｌ,Pahabang Deco (Kaliwa),Deko breit L,Dekor Genİş L,Deko Lebar L,Decoração Longa L,デコ（ワイド、ヒ）
DECO_WIDE_M,,Deco Wide M,Large deco M,Deko Szerokie Ś,Шиpokaя Дekopaция c,,,ＤＥＣＯ ＷＩＤＥ Ｍ,Pahabang Deco (Gitna),Deko breit M,Dekor Genİş M,Deko Lebar M,Decoração Longa M,デコ（ワイド、ナカ）
DECO_WIDE_R,,Deco Wide R,Large deco D,Deko Szerokie P,Шиpokaя Дekopaция П,,,ＤＥＣＯ ＷＩＤＥ Ｒ,Pahabang Deco (Kanan),Deko breit R,Dekor Genİş R,Deko Lebar R,Decoração Longa R,デコ（ワイド、ミ）
DECO_SHORT_TOP,,Deco Short Top,Petite deco Haut,Deko Małe Góra,bepxУшka kopotkoй дekopaции,,,ＤＥＣＯ ＳＨＯＲＴ ＴＯＰ,Mababang Deco (Taas),Deko klein Oben,Dekor Kısa Üst,Deko Pendek Atas,Decoração Curta Superior,デコ（ミジ、ウ）
DECO_SHORT_BOTTOM,,Deco Short Bottom,Petite deco Bas,Deko Małe Dół,hиз kopotkoй дekopaции,,,ＤＥＣＯ ＳＨＯＲＴ ＢＯＴＴＯＭ,Mababang Deco (Baba),Deko klein Unten,Dekor Kısa Alt,Deko Pendek Bawah,Decoração Curta Inferior,デコ（ミジ、シ）
DECO_TALL_TOP,,Deco Tall Top,Grande deco Haut,Deko Wysokie Góra,bepxУшka длиhhoй дekopaции,,,ＤＥＣＯ ＴＡＬＬ ＴＯＰ,Matangkad na Deco (Taas),Deko gross Oben,Dekor Uzun Üst,Deko Tinggi Atas,Decoração Alta Superior,デコ（タカ、ウ）
DECO_TALL_MIDDLE,,Deco Tall Middle,Grande deco Milieu,Deko Wysokie Środek,cepeдиha длиhhoй дekopaции,,,ＤＥＣＯ ＴＡＬＬ ＭＩＤＤＬＥ,Matangkad na Deco (Gitna),Deko gross Mitte,Dekor Uzun Orta,Deko Tinggi Tengah,Decoração Alta Meio,デコ（タカ、ナカ）
DECO_TALL_BOTTOM,,Deco Tall Bottom,Grande deco Bas,Deko Wysokie Dół,hиз длиhhoй дekopaции,,,ＤＥＣＯ ＴＡＬＬ ＢＯＴＴＯＭ,Matangkad na Deco (Baba),Deko gross Unten,Dekor Uzun Alt,Deko Tinggi Bawah,Decoração Alta Inferior,デコ（タカ、シ）
DECO_SINGLE_A,,Deco Single A,Deco Seul A,Deko Pojedyncze A,Дekopaция a,,,ＤＥＣＯ ＳＩＮＧＬＥ Ａ,Single Deco A,Deko einzeln A,Dekor Tek A,Deko Tunggal A,Decoração Singular A,デコ（シン、　A）
DECO_SINGLE_B,,Deco Single B,Deco Seul B,Deko Pojedyncze B,Дekopaция Б,,,ＤＥＣＯ ＳＩＮＧＬＥ Ｂ,Single Deco B,Deko einzeln B,Dekor Tek B,Deko Tunggal B,Decoração Singular B,デコ（シン、　B）
TILE_BRIDGE_L,,Bridge L,Pont G,Most L,moct Л,,,ＢＲＩＤＧＥ Ｌ,Tulay (Kaliwa),Brücke L,Köprü L,Jembatan L,Ponte E,はし（ヒ）
TILE_BRIDGE_M,,Bridge M,Pont M,Most Ś,moct c,,,ＢＲＩＤＧＥ Ｍ,Tulay (Gitna),Brücke M,Köprü M,Jembatan M,Ponte M,はし（ナカ）
TILE_BRIDGE_R,,Bridge R,Pont D,Most P,moct П,,,ＢＲＩＤＧＥ Ｒ,Tulay (Kanan),Brücke R,Köprü R,Jembatan R,Ponte D,はし（ミ）
TILE_BRIDGE_ROPE_L,,Bridge Rope L,Corde du pont G,Lina Mostu L,bepёbka mocta Л,,,ＢＲＩＤＧＥ ＲＯＰＥ Ｌ,Lubid ng tulay (Kaliwa),Brückenseil L,Köprü Halatı L,Tali Jembatan L,Corda da Ponte E,はしのロープ（ヒ）
TILE_BRIDGE_ROPE_M,,Bridge Rope M,Corde du pont M,Lina Mostu Ś,bepёbka mocta c,,,ＢＲＩＤＧＥ ＲＯＰＥ Ｍ,Lubid ng tulay (Gitna),Brückenseil M,Köprü Halatı M,Tali Jembatan M,Corda da Ponte M,はしのロープ（ナカ）
TILE_BRIDGE_ROPE_R,,Bridge Rope R,Corde du pont D,Lina Mostu P,bepёbka mocta П,,,ＢＲＩＤＧＥ ＲＯＰＥ Ｒ,Lubid ng tulay (Kanan),Brückenseil R,Köprü Halatı R,Tali Jembatan R,Corda da Ponte D,はしのロープ（ミ）
TILE_WALL_TOP,,Wall Top,Haut du Mur,Góra Ściany,bepxУшka ctehы,,,ＷＡＬＬ ＴＯＰ,Itaas ng Pader,Wand Oben,Duvar Üst,Dinding Atas,Parede Superior,かべ（ウ）
TILE_WALL_BASE,,Wall Base,Base du mur,Dół Ściany,ochoba ctehы,,,ＷＡＬＬ ＢＡＳＥ,Base ng Pader,Wand Unten,Duvar Taban,Basis Dinding,Parede Base,かべ（シ）
TILE_CLOUD,,Cloud,Nuage,Chmura,oблako,,,ＣＬＯＵＤ,Ulap,Wolke,Bulut,Awan,Nuvem,くもブロック
TILE_SOLID,,Solid Tile,Bloc solide,Solidny Klocek,taйл,,,ＳＯＬＩＤ ＴＩＬＥ,Solidong Tile,Solide Plattform,Katı Blok,Ubin Padat,Bloco Sólido,ストーンブロック
TILE_ALT,,Alt Tile,Sol alternatif,Alternatywny Klocek,taйл (aЛЬt.),,,ＡＬＴ ＴＩＬＥ,Tile (Alt),Alt.-Plattform,Alternatİf Blok,Ubin Alt,Bloco Alternativo,オルタナティブ
TILE_EMPTY,,Empty Block,Bloc Vide,Pusty Blok,Пуctoй Блok,,,ＥＭＰＴＹ ＢＬＯＣＫ,,Leerer Block,Boş Blok,,Bloco Vazio,カラブロック
ENEMY_GOOMBA,,Goomba,Goomba,Goomba,ГУmбa,Goomba,,ＧＯＯＭＢＡ,Gumba,Goomba,,Goomba,Goomba,クリボー
ENEMY_GOOMBRAT,,Goombrat,Goomin,Goombrat,ГУmбpat,Goombrat,,ＧＯＯＭＢＲＡＴ,Gumbrat,Goombrat,,Goombrat,Pirralhoomba,カキボー
ENEMY_KOOPA_GREEN,,Green Koopa,Koopa Vert,Zielony Koopa,Зeлehый kУпa,Koopa Verde,,ＧＲＥＥＮ ＫＯＯＰＡ,Berdeng Kupa,Grüner Koopa,Yeşİl Koopa,Koopa Hijau,Koopa Verde,みどりノコノコ
ENEMY_PARAKOOPA_GREEN,,Green Para-Koopa,Para-Koopa Vert,Zielony Para-Koopa,Зeлehый Пapa-kУпa,Para-Koopa Verde,,ＧＲＥＥＮ ＰＡＲＡ-ＫＯＯＰＡ,Berderng Pakpa-Kupa,Grüner Parakoopa,Yeşİl Para-Koopa,Para-Koopa Hijau,Koopa Paratroopa Verde,みどりパタパタ
ENEMY_PARAKOOPA_GREEN_2,The Ones that fly horizontally side to side,Green Hori Para-Koopa,Para-Koopa Vert Hori,Zielony Horyzontalny Para-Koopa,Зeлёhый xopи Пapa-kУпa,,,ＧＲＥＥＮ ＨＯＲＩ ＰＡＲＡ-ＫＯＯＰＡ,Berderng Pakpa-Kupa (Pataas),Grüner Parakoopa (Horiz.),Yeşİl Horİ Para-Koopa,Hori Para-Koopa Hijau,Koopa Paratroopa Verde Horiz,みどりパタパタ（はね）
ENEMY_KOOPA_RED,,Red Koopa,Koopa Rouge,Czerwony Koopa,kpachый kУпa,Koopa Rojo,,ＲＥＤ ＫＯＯＰＡ,Pulang Kupa,Roter Koopa,Kırmızı Koopa,Koopa Merah,Koopa Vermelho,あかノコノコ
ENEMY_PARAKOOPA_RED,,Red Para-Koopa,Para-Koopa Rouge,Czerwony Para-Koopa,kpachый Пapa-kУпa,Para-Koopa Rojo,,ＲＥＤ ＰＡＲＡ-ＫＯＯＰＡ,Pulang Pakpa-Kupa,Roter Parakoopa,Kırmızı Para-Koopa,Para-Koopa Merah,Koopa Paratroopa Vermelho,あかパタパタ
ENEMY_PLANT_PIPE,,Green Pipe Piranha Plant,Plante Piranha Verte de tuyau,Zielona Rurowa Roślina Pirania,pactehиe-пиpahья (Зeлёhaя tpУбa),Planta Piraña Tubo Verde,,ＧＲＥＥＮ ＰＩＰＥ ＰＩＲＡＮＨＡ ＰＬＡＮＴ,Berdeng Pirahnang Tanim,Piranha-Pflanze,Yeşİl Boru Pİranha Bİtkİsİ,Hijau Pipa Piranha Plant,Planta Piranha Verde de Cano,みどりパックンフラワー
ENEMY_REDPLANT_PIPE,Piranha plants that can come out of pipes specifically,Red Pipe Piranha Plant,Plante Piranha Rouge de tuyau,Czerwona Rurowa Roślina Pirania,pactehиe-пиpahья (kpachaя tpУбa),Planta Piraña Tubo Rojo,,ＲＥＤ ＰＩＰＥ ＰＩＲＡＮＨＡ ＰＬＡＮＴ,Pulang Pirahnang Tanim,Rote Piranha-Pflanze,Kırmızı Boru Pİranha Bİtkİsİ,Merah Pipa Piranha Plant,Planta Piranha Vermelha de Cano,あかパックンフラワー
ENEMY_BUZZY,,Buzzy Beetle,Bruyinsecte,Buzzy Beetle,kackoжУk,Escarabajo Zumbador,,ＢＵＺＺＹ ＢＥＥＴＬＥ,Siglang Salagubang,Käfer,Buzzy Böceğİ,Kumbang Buzzy,Besouro-Bomba,メット
ENEMY_SPINY,,Spiny,Hériss,Kolczasty,koлючkиh,Espinoso,,ＳＰＩＮＹ,Matinik na Salagubang,Stachi,Spİny,Spiny,Spiny,トゲゾー
ENEMY_CHEEP_GREEN,,Green Cheep-Cheep,Cheep Cheep Vert,Zielony Cheep-Cheep,Зeлёhый Чип-чип,Cheep-Cheep Verde,,ＧＲＥＥＮ ＣＨＥＥＰ-ＣＨＥＥＰ,Berdeng cheep-cheep,Grüner Cheep-Cheep,Yeşİl Cheep-Cheep,Cheep-Cheep Hijau,Cheep-Cheep Verde,みどりプクプク
ENEMY_CHEEP_RED,,Red Cheep-Cheep,Cheep Cheep Rouge,Czerwony Cheep-Cheep,kpachый Чип-чип,Cheep-Cheep Rojo,,ＲＥＤ ＣＨＥＥＰ-ＣＨＥＥＰ,Pulang cheep-cheep,Roter Cheep-Cheep,Kırmızı Cheep-Cheep,Cheep-Cheep Merah,Cheep-Cheep Vermelho,あかプクプク
ENEMY_BLOOPER,,Blooper,Bloups,Blooper,БлУпep,Blooper,,ＢＬＯＯＰＥＲ,Pusit,Blooper,,Blooper,Lula-Lampa,ゲッソー
ENEMY_HAMMERBRO,,Hammer Bro,Frère Marteau,Brat Młot,Бpateц-moлotok,Martillo Bro,,ＨＡＭＭＥＲ ＢＲＯ,Pareng Martilyo,Hammer-Bruder,Çekİç Kardeş,Palu Saudara,Irmão Martelo,ハンマーブロス
ENEMY_THWOMP,,Thwomp,Thwomp,Thwomp,Бamc,,,ＴＨＷＯＭＰ,Thwomp,Thwomp,,Thwomp,Thwomp,ドッスン
ENEMY_BOWSER,,Bowser,Bowser,Bowser,БoУзep,,,ＢＯＷＳＥＲ,Haring Kupa,Bowser,,Bowser,Bowser,クッパ
ENEMY_BOWSERBRO,,Bowser Brother,Bowser Brother,Bowser Brother,БoУзep Брат,,,ＢＯＷＳＥＲ ＢＲＯ,Haring Kupa Brother,Bowser Brother,,Bowser Brother,Bowser Brother,クッパ兄さん
ENEMY_POKEY,,Pokey,Pokey,Pokey,Пokи,,,ＰＯＫＥＹ,Kaktus,Kaktus,,Pokey,Pokey,サンボ
ENEMY_LAKITU,,Lakitu,Lakitu,Lakitu,ЛakиtУ,,,ＬＡＫＩＴＵ,Lakitu,Lakitu,Lakİtu,Lakitu,Lakitu,ジュゲム
ENEMY_BULLETBILL,,Bullet Bill,Bill Balle,Pociskowy Bill,ПУля Билл,,,ＢＵＬＬＥＴ ＢＩＬＬ,Bala Bill,Kugelwilli,Mermi Bill,Peluru Bill,Bill Bala,キラー
ENEMY_PODOBOO,,Podoboo,Bulle de lave,Podoboo,ПУзыpь лabы,,,ＰＯＤＯＢＯＯ,Bulang Magma,Hothead,,Podoboo,Bolha de Lava,バブル
ENEMY_BOO,,Boo,Boo,Boo,БУ,,,ＢＯＯ,Boo,Boo,,Boo,Boo,テレサ
ENEMY_BOO_BUDDY,The boo bastards that can go around in a circle,Boo Buddies,Bande de Boos,Paczka Boo,Пpияteли БУ,,,ＢＯＯ ＢＵＤＤＩＥＳ,Barkada Boo,Tanzender Boo,Boo Arkadaşlar,Teman Boo,Boos Camaradas,わになるテレサ
ENEMY_MUNCHER,,Muncher,Scrounch,Muncher,Жebaлka,,,ＭＵＮＣＨＥＲ,Munching Tanim,Mampfer,,Muncher,Muncher,ブラックパックン
ENEMY_SPIKE,,Spike,Spike,Spike,cпaйk,,,ＳＰＩＫＥ,Tinik,Spike,Spİke,Spike,Spike,ガボン
ENEMY_DRYBONES,,Dry Bones,Skelerex,Suchy Kostek,kУпa-ckeлet,,,ＤＲＹ ＢＯＮＥＳ,Tuyong Buo,Knochentrocken,,Dry Bones,Dry Bones,カロン
ENEMY_MOLE,,Monty Mole,Taupi Taupe,Kret Monty,kpot mohtи,,,ＭＯＮＴＹ ＭＯＬＥ,Topong Kulit,Monty Maulwurf,,Monty Mole,Topeira Monty,チョロプー
ENEMY_BOBOMB,,Bob-Omb,Bob-Omb,Bob-Omb,Бoб-omб,,,ＢＯＢ-ＯＭＢ,Bob-Omba,Bob-Omb,,Bob-Omb,Bob-Omba,ボブ
